cutout,pair_id,x0_kpc,y0_kpc,tng_ad_statistic,tng_ad_empirical_p,tng_residual_rms,grf_median_residual_rms,tng_residual_rms_empirical_p,tng_negative_dip,grf_median_negative_dip,tng_negative_dip_empirical_p,tng_residual_max_abs,grf_median_residual_max_abs,tng_residual_max_abs_empirical_p,tng_distinguishable_ad,tng_distinguishable_rms
cutout_13.hdf5,329,-15.764791841140012,-168.90370594886048,8.308722922314132,0.9523809523809524,0.0665034840736742,0.0510893971255536,0.1904761904761904,0.1202464698922192,0.0851602233762472,0.1904761904761904,0.1305723195072753,0.095304641139239,0.238095238095238,False,False
cutout_13.hdf5,330,78.97175653816,-118.2589505226618,73.8290575153324,0.0476190476190476,0.1069681496513141,0.0660236770883924,0.0476190476190476,0.1913522953291327,0.166532468632046,0.4285714285714285,0.1913522953291327,0.166532468632046,0.4761904761904761,True,True
cutout_13.hdf5,331,-147.82240123775262,94.7488027248295,138.5029168487762,0.0952380952380952,2.101507070493886e-05,0.0005045482887068,1.0,2.346029069192026e-05,0.0028759318031202,1.0,0.0001329522255674,0.0028759318031202,0.9523809523809524,False,False
cutout_13.hdf5,332,-90.12334036890564,-113.35713588555288,55.44798588115948,0.238095238095238,0.0047688648950336,0.0099232564609566,0.9047619047619048,0.0135657101926381,0.0212604350481501,0.8571428571428571,0.0135657101926381,0.0263378156292343,0.8571428571428571,False,False
cutout_13.hdf5,333,132.18994182654097,-103.78715130247616,5.8781612442542635,0.8095238095238095,0.0464933604873375,0.0496052202602143,0.8571428571428571,0.0972940469009719,0.0904449857942515,0.8095238095238095,0.0972940469009719,0.1044982099912049,0.8095238095238095,False,False
cutout_13.hdf5,334,29.124377333380146,32.56545594570986,25.19940656509,0.4761904761904761,0.005622217769335,0.0085487461214631,0.7619047619047619,0.01296845947934,0.0243159955391787,0.8571428571428571,0.0184545019844119,0.0263067900906852,0.8095238095238095,False,False
cutout_13.hdf5,335,-145.00608405971758,7.33437132232687,21.252001568074768,0.4285714285714285,0.000921322958665,0.002099942570152,0.8095238095238095,0.0023713412667404,0.0052884273303992,0.8571428571428571,0.0023713412667404,0.0107001907683944,0.9047619047619048,False,False
cutout_13.hdf5,336,73.69438658705177,21.5245561474645,11.952294642702164,0.6190476190476191,0.0277769308344751,0.032853975294398,0.8095238095238095,0.0667419190010263,0.072785751197581,0.7142857142857143,0.0667419190010263,0.0798461160187889,0.8095238095238095,False,False
cutout_13.hdf5,337,-17.675678871488795,-108.46072030310036,6.777294168100223,0.7142857142857143,0.0136074579855749,0.0113330725515989,0.238095238095238,0.054034652431747,0.0372312888007828,0.1904761904761904,0.054034652431747,0.0372312888007828,0.1904761904761904,False,False
cutout_13.hdf5,338,92.77099083154005,80.29484798189822,79.03559598932839,0.0476190476190476,0.0235187623049262,0.0102137450527054,0.0952380952380952,0.0904876283365358,0.0440513047580335,0.1904761904761904,0.0904876283365358,0.0441868514436929,0.1904761904761904,True,False
cutout_13.hdf5,339,107.1509961832496,66.40556975957287,35.208382747545585,0.238095238095238,0.0310992600546704,0.0258833266652133,0.238095238095238,0.0639841726356514,0.0548902978352219,0.5238095238095238,0.0639841726356514,0.0701798880583878,0.6666666666666666,False,False
cutout_13.hdf5,340,-48.983716112091486,-70.53046704707431,44.07227096492873,0.1428571428571428,0.0177200628531636,0.011415463751759,0.0952380952380952,0.0305203253049703,0.0312902668779596,0.5238095238095238,0.0308993937500708,0.0312902668779596,0.4761904761904761,False,False
cutout_13.hdf5,341,-66.65003420360446,22.04477697805893,6.253641166729538,0.9523809523809524,0.0078591773517157,0.006057651139987,0.4761904761904761,0.0131974985150459,0.0133383610421997,0.6666666666666666,0.0241151914836921,0.0194892155038696,0.4761904761904761,False,False
cutout_13.hdf5,342,122.14413348869688,-104.71051684634178,6.945385233556191,0.7619047619047619,0.0139021296005011,0.012978836263787,0.3809523809523809,0.0298841824898052,0.0280309053896316,0.3333333333333333,0.0298841824898052,0.028563939418882,0.3809523809523809,False,False
cutout_13.hdf5,343,119.28958417038729,-0.688882114610121,18.57698380333477,0.3809523809523809,0.0102447030873616,0.0074347949685969,0.3333333333333333,0.057285972225268,0.033214077256692,0.2857142857142857,0.057285972225268,0.033214077256692,0.2857142857142857,False,False
cutout_13.hdf5,344,27.00975252095702,40.639783142144985,29.09291751973333,0.2857142857142857,0.0175574023355231,0.0161106631364367,0.2857142857142857,0.0403245709977524,0.0538205030391457,0.6190476190476191,0.0403245709977524,0.0538205030391457,0.7142857142857143,False,False
cutout_13.hdf5,345,153.3677114760308,22.080443670254216,36.543431319202085,0.4285714285714285,0.0032542192498555,0.0033450494827116,0.3809523809523809,0.017822329135737,0.0127231108852623,0.1428571428571428,0.017822329135737,0.0128781812951025,0.1428571428571428,False,False
cutout_13.hdf5,346,103.16901142890254,-5.004159933325819,12.995216270242285,0.3333333333333333,0.0116447675968857,0.0161562564785072,1.0,0.0463490969916313,0.0516804067757945,0.5714285714285714,0.0463490969916313,0.0542174705034697,0.5714285714285714,False,False
cutout_13.hdf5,347,72.13265189787536,-27.16259534976334,7.841500393335873,0.6666666666666666,0.0171089681146157,0.0194112684217268,0.9523809523809524,0.0369289058572863,0.0487893267308435,0.9523809523809524,0.0383486693647118,0.0487893267308435,0.9523809523809524,False,False
cutout_13.hdf5,348,41.6659649111261,-53.70247080548782,54.0915125399788,0.1428571428571428,0.0355195577913969,0.0253306308229896,0.1428571428571428,0.0571447796603818,0.05444076135435,0.3333333333333333,0.0638303775141479,0.05444076135435,0.238095238095238,False,False
